Date,SPY,QQQ,GLD,TLT
2025-07-07,,,,
2025-07-08,,,,
2025-07-09,,,,
2025-07-10,,,,
2025-07-11,,,,
2025-07-14,,,,
2025-07-15,,,,
2025-07-16,,,,
2025-07-17,,,,
2025-07-18,,,,
2025-07-21,,,,
2025-07-22,,,,
2025-07-23,,,,
2025-07-24,,,,
2025-07-25,,,,
2025-07-28,,,,
2025-07-29,,,,
2025-07-30,,,,
2025-07-31,,,,
2025-08-01,,,,
2025-08-04,,,,
2025-08-05,,,,
2025-08-06,,,,
2025-08-07,,,,
2025-08-08,,,,
2025-08-11,,,,
2025-08-12,,,,
2025-08-13,,,,
2025-08-14,,,,
2025-08-15,0.09559505133481254,0.11389031653423053,0.13406233268720594,0.11298606994691533
2025-08-18,0.09229991117958185,0.11093847686468176,0.13412724868476375,0.10973674487841419
2025-08-19,0.09417065988524023,0.11923122190676276,0.13151615929670124,0.11084778813355778
2025-08-20,0.09355666439722389,0.11946533027892141,0.13412185329682805,0.1068375724282203
2025-08-21,0.09434098704406076,0.12029389164019787,0.13444254069494005,0.10782012680838822
2025-08-22,0.10278441636023457,0.12748461959931837,0.13515352893137722,0.1017112984951952
2025-08-25,0.10400493874787625,0.12775247759312514,0.13489441827846832,0.10191638929647216
2025-08-26,0.10320003162175097,0.1280782659518577,0.13572418009256165,0.0994138928337612
2025-08-27,0.10305681890357968,0.12808877017771428,0.1351638954995465,0.09955936350208801
2025-08-28,0.10225437168389134,0.12731300846158133,0.13636116664928996,0.10093053001881745
2025-08-29,0.10417978167487088,0.1322991639490884,0.13866641734209112,0.10357992815297047
2025-09-02,0.10689115237355923,0.13401988994243713,0.14784951724733816,0.10312005238347534
2025-09-03,0.10777420452394527,0.13487011160468143,0.14713447694915965,0.10651300363812388
2025-09-04,0.1076817504098712,0.1366453139751609,0.1424243201722027,0.10707425647460339
2025-09-05,0.10820811790749994,0.13659767520766236,0.14447016836751878,0.11470978979419438
2025-09-08,0.10782696313307515,0.13705581821741178,0.14262358238887038,0.11909736909967844
2025-09-09,0.10790067615904284,0.13701474245659753,0.14073294861733193,0.11865326680828828
2025-09-10,0.10759682762807352,0.13684848879501732,0.14073950187029316,0.11023460254479041
2025-09-11,0.10948576436794662,0.1376113413058439,0.12776120954679251,0.1096545752463111
2025-09-12,0.10858197158237087,0.13664523199707299,0.12750630500033802,0.11095440545540596
2025-09-15,0.0951956956892061,0.1227661201172314,0.11907642826474417,0.10418425662382833
2025-09-16,0.0870867310722209,0.11295978186448745,0.11883141798809478,0.10411088912443317
2025-09-17,0.08526324216695913,0.11070220352881771,0.12268499271716113,0.10441475472404406
2025-09-18,0.08385597685541993,0.10812170079734455,0.12344650818283878,0.10768776311687998
2025-09-19,0.0841128055505479,0.10904024492672364,0.12448972561826267,0.10772723339802684
2025-09-22,0.08264595072978519,0.10741527145718094,0.13110662515398586,0.10745024085745994
2025-09-23,0.0845468035283347,0.10929629814777837,0.11994447881508254,0.10899287299142679
2025-09-24,0.0809826769803554,0.10500471706116819,0.12500585328801048,0.10847065037773908
2025-09-25,0.08227282844802147,0.10611192226449709,0.12500296960932883,0.10621858835269175
2025-09-26,0.08347735507183268,0.10642226665141818,0.12146050183706912,0.10356964057468131
2025-09-29,0.08303747987535463,0.10567797865809513,0.1261609714619488,0.10283083401896567
2025-09-30,0.08327467615362408,0.10563786841054665,0.12527001249046307,0.10283344019068201
2025-10-01,0.08100658787153292,0.09603244868447375,0.12179920375157924,0.10204745287321566
2025-10-02,0.0800275350716661,0.09319846297078223,0.12336382135579763,0.1021256418707842
2025-10-03,0.07837302910375299,0.09293370518742988,0.12121790744822745,0.10088065906257453
2025-10-06,0.06736617654813001,0.08580403254084562,0.12666301077849276,0.10271737572985762
2025-10-07,0.06687241093400557,0.08726503973287046,0.12450166756222313,0.10302236922319268
2025-10-08,0.06769555758311535,0.09133813409322436,0.1283709313566908,0.10289790886868753
